Panstwo;Stolica;PelnaNazwa;Powierzchnia;LiczbaLudnosci
Albania;Tirana;Republika Albanii;28748;3020209
Andora;Andora;Ksiêstwo Andory;468;85458
Austria;Wiedeñ;Republika Austrii;83871;8223062
Belgia;Bruksela;Królestwo Belgii;30528;10449361
Bia³oruœ;Miñsk;Republika Bia³orusi;207600;9608058
Boœnia i Hercegowina;Sarajewo;Boœnia i Hercegowina;51129;3871643
Bu³garia;Sofia;Republika Bu³garii;110910;6924716
Chorwacja;Zagrzeb;Republika Chorwacji;56542;4470534
Czarnogóra;Podgorica;Czarnogóra;13812;650036
Czechy;Praga;Republika Czeska;78866;10627448
Dania;Kopenhaga;Królestwo Danii;43094;5569077
Estonia;Tallinn;Republika Estoñska;45226;1257921
Finlandia;Helsinki;Republika Finlandii;338145;5268799
Francja;Pary¿;Republika Francuska;675417;66259012
Grecja;Ateny;Republika Grecka;131940;10775557
Hiszpania;Madryt;Królestwo Hiszpanii;504645;47737941
Holandia;Amsterdam;Królestwo Niderlandów;41526;16877351
Irlandia;Dublin;Irlandia;70273;4832765
Islandia;Reykjavík;Republika Islandii;103125;317351
Kazachstan;Nur-Su³tan;Republika Kazachstanu;2724900;17948816
Liechtenstein;Vaduz;Ksiêstwo Liechtensteinu;160;37313
Litwa;Wilno;Republika Litewska;65200;3505738
Luksemburg;Luksemburg;Wielkie Ksiêstwo Luksemburga;2586;520672
£otwa;Ryga;Republika £otewska;64589;2165165
Macedonia Pó³nocna;Skopje;Republika Macedonii Pó³nocnej;25713;2091719
Malta;Valletta;Republika Malty;316;412665
Mo³dawia;Kiszyniów;Republika Mo³dawii;33843;3583288
Monako;Monako;Ksiêstwo Monako;1.95;30508
Niemcy;Berlin;Republika Federalna Niemiec;357114;80996685
Norwegia;Oslo;Królestwo Norwegii;324220;5147792
Polska;Warszawa;Rzeczpospolita Polska;312679;38346279
Portugalia;Lizbona;Republika Portugalska;92931;10813834
Rosja;Moskwa;Federacja Rosyjska;17075400;142470272
Rumunia;Bukareszt;Rumunia;238391;21729871
San Marino;San Marino;Republika San Marino;61.6;32742
Serbia;Belgrad;Republika Serbii;88361;7209764
S³owacja;Bratys³awa;Republika S³owacka;49035;5443583
S³owenia;Lublana;Republika S³owenii;20273;1988292
Szwajcaria;Berno;Konfederacja Szwajcarska;41290;8061516
Szwecja;Sztokholm;Królestwo Szwecji;449964;9723809
Turcja;Ankara;Republika Turcji;783580;81619392
Ukraina;Kijów;Ukraina;603700;42805731
Watykan;Watykan;Pañstwo Watykañskie;0.44;800
Wêgry;Budapeszt;Wêgry;93030;9919128
Wielka Brytania;Londyn;Zjednoczone Królestwo Wielkiej Brytanii i Irlandii Pó³nocnej;244820;63742977
W³ochy;Rzym;Republika W³oska;301300;61680122
